Snapshot,Index,Hotel Name,TTT,LOS,Grade,Num of Reviews,Curr Price,Original Price,Percentage of discount,Distance from center,Type of room,Location grade,Is refundable,Late payment,Breakfast included,Option Member
2023-03-06 17:53:54.118613,0,Hotel 32 32,1,1,8.0,"(1,296 reviews)",The price is €278,The price was €360,0,0,0,0,False,False,,False
2023-03-06 17:53:54.126465,1,Sonesta Simply Suites Jersey City,1,1,8.4,"(1,002 reviews)",The price is €217,,0,0,0,0,True,False,,False
2023-03-06 17:53:54.130621,2,Park Lane New York,1,1,8.8,(305 reviews),The price is €449,The price was €493,0,0,0,0,False,False,,False
2023-03-06 17:53:54.134618,3,Arlo Midtown,1,1,9.2,"(3,123 reviews)",The price is €328,,0,0,0,0,True,False,,True
2023-03-06 17:53:54.143039,4,"PUBLIC, an Ian Schrager hotel",1,1,8.0,"(1,465 reviews)",The price is €428,,0,0,0,0,False,False,,True
2023-03-06 17:53:54.144050,5,Hard Rock Hotel New York,1,1,9.2,(716 reviews),The price is €542,,0,0,0,0,True,False,,True
2023-03-06 17:53:54.148157,6,Hotel Edison Times Square,1,1,7.8,"(2,758 reviews)",The price is €256,,0,0,0,0,True,False,Breakfast included,True
2023-03-06 17:53:54.148157,7,YOTEL New York Times Square,1,1,7.0,"(1,889 reviews)",The price is €220,The price was €240,0,0,0,0,False,False,,True
2023-03-06 17:53:54.152156,8,Moxy Brooklyn Willamsburg,1,1,,,The price is €242,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.155396,9,New York Marriott Marquis,1,1,9.0,"(1,543 reviews)",The price is €538,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.157391,10,Millennium Hotel Broadway Times Square,1,1,7.0,"(6,075 reviews)",The price is €201,The price was €219,0,0,0,0,True,False,,True
2023-03-06 17:53:54.158416,11,The Westin New York at Times Square,1,1,8.6,"(2,154 reviews)",The price is €499,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.162547,12,Margaritaville Resort Times Square,1,1,9.0,"(1,679 reviews)",The price is €322,,0,0,0,0,False,False,Pool,False
2023-03-06 17:53:54.166547,13,The Manhattan at Times Square Hotel,1,1,5.6,"(2,651 reviews)",The price is €135,The price was €159,0,0,0,0,False,False,,True
2023-03-06 17:53:54.170550,14,Hyatt Grand Central New York,1,1,7.8,"(1,680 reviews)",The price is €434,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.173299,15,M Social Hotel Times Square New York,1,1,8.8,"(2,832 reviews)",The price is €341,The price was €374,0,0,0,0,True,False,,False
2023-03-06 17:53:54.177584,16,Park Central Hotel New York,1,1,8.0,"(1,908 reviews)",The price is €286,The price was €313,0,0,0,0,False,False,,True
2023-03-06 17:53:54.181618,17,Equinox Hotel New York,1,1,9.0,(307 reviews),"The price is €1,077",,0,0,0,0,True,False,Pool,True
2023-03-06 17:53:54.185680,18,"InterContinental New York Times Square, an IHG Hotel",1,1,8.2,"(1,055 reviews)",The price is €409,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.191904,19,"The Langham, New York, Fifth Avenue",1,1,9.4,"(1,004 reviews)","The price is €1,320",,0,0,0,0,True,False,,False
2023-03-06 17:53:54.192912,20,The New Yorker A Wyndham Hotel,1,1,8.0,"(2,598 reviews)",The price is €206,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.197043,21,The Westin New York Grand Central,1,1,8.6,"(1,191 reviews)",The price is €587,"The price was €1,162",0,0,0,0,False,False,,False
2023-03-06 17:53:54.205042,22,Soho Grand Hotel,1,1,8.8,"(1,009 reviews)",The price is €455,The price was €559,0,0,0,0,False,False,,False
2023-03-06 17:53:54.209253,23,Empire Hotel,1,1,7.4,"(1,311 reviews)",The price is €240,,0,0,0,0,False,False,Pool,True
2023-03-06 17:53:54.213379,24,Pod Times Square,1,1,8.6,"(2,815 reviews)",The price is €175,,0,0,0,0,True,False,,True
2023-03-06 17:53:54.217380,25,NoMo SoHo,1,1,8.0,"(1,010 reviews)",The price is €301,,0,0,0,0,False,False,,True
2023-03-06 17:53:54.221380,26,"Moxy NYC Times Square, a Marriott Hotel",1,1,8.4,"(1,085 reviews)",The price is €386,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.226127,27,The Standard High Line,1,1,8.4,(758 reviews),The price is €434,,0,0,0,0,False,False,,True
2023-03-06 17:53:54.230258,28,Park Lane New York,1,1,8.8,(305 reviews),The price is €449,The price was €493,0,0,0,0,False,False,,False
2023-03-06 17:53:54.230258,29,"Martinique New York on Broadway, Curio Collection by Hilton",1,1,8.6,"(1,010 reviews)",The price is €445,,0,0,0,0,True,False,,False
2023-03-06 17:53:54.234259,30,Hyatt House Jersey City,1,1,8.4,"(1,009 reviews)",The price is €303,The price was €337,0,0,0,0,False,False,Breakfast included,False
2023-03-06 17:53:54.240803,31,Millennium Downtown New York,1,1,7.4,"(2,520 reviews)",The price is €302,The price was €331,0,0,0,0,True,False,,True
2023-03-06 17:53:54.244510,32,"Hotel Indigo Lower East Side New York, an IHG Hotel",1,1,8.0,"(1,003 reviews)",The price is €280,,0,0,0,0,False,False,Pool,False
2023-03-06 17:53:54.248576,33,The Times Square EDITION,1,1,9.0,(572 reviews),The price is €715,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.252581,34,The Knickerbocker Hotel,1,1,8.8,"(1,007 reviews)",The price is €513,The price was €564,0,0,0,0,False,False,,False
2023-03-06 17:53:54.257525,35,"InterContinental New York Barclay, an IHG Hotel",1,1,8.6,"(1,011 reviews)",The price is €653,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.259530,36,RIU Plaza Manhattan Times Square,1,1,8.8,"(1,854 reviews)",The price is €261,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.263663,37,INNSiDE by Meliá New York Nomad,1,1,8.8,"(1,349 reviews)",The price is €309,,0,0,0,0,False,False,,True
2023-03-06 17:53:54.267667,38,Arlo NoMad,1,1,8.0,"(1,607 reviews)",The price is €274,The price was €301,0,0,0,0,True,False,,True
2023-03-06 17:53:54.274513,39,The Belvedere Hotel,1,1,8.6,"(2,270 reviews)",The price is €177,,0,0,0,0,True,False,,True
2023-03-06 17:53:54.276508,40,Ace Hotel New York,1,1,8.2,"(1,008 reviews)",The price is €364,,0,0,0,0,True,False,,False
2023-03-06 17:53:54.280571,41,"Mandarin Oriental, New York",1,1,9.2,(450 reviews),"The price is €1,007",,0,0,0,0,True,False,Pool,False
2023-03-06 17:53:54.284571,42,Roxy Hotel New York,1,1,9.0,"(1,014 reviews)",The price is €424,,0,0,0,0,False,False,,True
2023-03-06 17:53:54.295049,43,citizenM New York Bowery,1,1,9.2,"(1,296 reviews)",The price is €240,,0,0,0,0,True,False,,False
2023-03-06 17:53:54.306799,44,Dream Downtown,1,1,7.2,"(1,010 reviews)",The price is €220,The price was €239,0,0,0,0,True,False,Pool,False
2023-03-06 17:53:54.309839,45,Arlo SoHo,1,1,8.2,"(1,315 reviews)",The price is €349,The price was €385,0,0,0,0,True,False,,True
2023-03-06 17:53:54.322294,46,"The Carlyle, A Rosewood Hotel",1,1,9.2,(680 reviews),The price is €853,The price was €947,0,0,0,0,True,False,,False
2023-03-06 17:53:54.331360,47,Park Terrace Hotel,1,1,9.2,"(1,009 reviews)",The price is €369,,0,0,0,0,True,False,,False
2023-03-06 17:53:54.343158,48,"Moxy NYC Lower East Side, a Marriott Hotel",1,1,9.0,(75 reviews),The price is €289,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.349381,49,"Moxy NYC Chelsea, a Marriott Hotel",1,1,8.6,(977 reviews),The price is €354,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.354709,50,Hotel 32 32,1,1,8.0,"(1,296 reviews)",The price is €278,The price was €360,0,0,0,0,False,False,,False
2023-03-06 17:53:54.359467,51,LUMA Hotel Times Square,1,1,9.4,"(1,013 reviews)",The price is €359,,0,0,0,0,False,False,,True
2023-03-06 17:53:54.367682,52,Dream Midtown,1,1,8.0,"(1,010 reviews)",The price is €266,,0,0,0,0,True,False,,True
2023-03-06 17:53:54.377238,53,Trump International Hotel & Tower New York,1,1,9.2,"(1,003 reviews)",The price is €649,,0,0,0,0,True,False,Pool,True
2023-03-06 17:53:54.382732,54,"The Ritz-Carlton New York, Central Park",1,1,9.0,(405 reviews),The price is €969,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.391903,55,Warwick New York,1,1,8.0,"(1,209 reviews)",The price is €363,The price was €380,0,0,0,0,False,False,,True
2023-03-06 17:53:54.400903,56,Conrad New York Midtown,1,1,8.4,"(1,001 reviews)",The price is €663,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.408818,57,The MUSE New York,1,1,8.8,"(1,007 reviews)",The price is €467,,0,0,0,0,False,False,,True
2023-03-06 17:53:54.415468,58,Courtyard by Marriott New York JFK Airport,1,1,8.0,"(1,003 reviews)",The price is €218,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.422093,59,The Gallivant Times Square,1,1,6.6,"(1,773 reviews)",The price is €125,The price was €148,0,0,0,0,True,False,,False
2023-03-06 17:53:54.427117,60,Royalton Park Avenue,1,1,8.2,"(1,007 reviews)",The price is €395,,0,0,0,0,False,False,Pool,False
2023-03-06 17:53:54.437031,61,World Center Hotel,1,1,8.6,"(1,299 reviews)",The price is €207,,0,0,0,0,True,False,,True
2023-03-06 17:53:54.443865,62,Bentley Hotel,1,1,6.6,"(1,017 reviews)",The price is €304,,0,0,0,0,False,False,,True
2023-03-06 17:53:54.451901,63,"Club Quarters, Times Square - Midtown",1,1,8.4,"(1,752 reviews)",The price is €218,,0,0,0,0,True,False,,True
2023-03-06 17:53:54.465542,64,The Time New York,1,1,8.0,"(1,009 reviews)",The price is €300,,0,0,0,0,True,False,,True
2023-03-06 17:53:54.469614,65,Mondrian Park Avenue,1,1,7.4,"(1,008 reviews)",The price is €273,,0,0,0,0,False,False,,True
2023-03-06 17:53:54.479464,66,Hotel Belleclaire,1,1,8.4,"(1,014 reviews)",The price is €232,The price was €269,0,0,0,0,True,False,Breakfast included,False
2023-03-06 17:53:54.483541,67,Freehand New York,1,1,8.2,"(1,017 reviews)",The price is €240,,0,0,0,0,True,False,,False
2023-03-06 17:53:54.491804,68,Ameritania Hotel at Times Square,1,1,8.4,"(1,142 reviews)",The price is €304,,0,0,0,0,False,False,,True
2023-03-06 17:53:54.499329,69,Virgin Hotels New York City,1,1,8.4,(11 reviews),The price is €489,,0,0,0,0,False,False,Pool,True
2023-03-06 17:53:54.505337,70,Refinery Hotel,1,1,8.8,"(1,002 reviews)",The price is €512,The price was €563,0,0,0,0,False,False,,False
2023-03-06 17:53:54.509326,71,Westgate New York Grand Central,1,1,8.6,"(1,014 reviews)",The price is €416,,0,0,0,0,True,False,,True
2023-03-06 17:53:54.513391,72,The Renwick,1,1,8.6,"(1,014 reviews)",The price is €383,,0,0,0,0,True,False,,True
2023-03-06 17:53:54.517391,73,WestHouse New York,1,1,8.4,"(1,007 reviews)",The price is €519,The price was €563,0,0,0,0,False,False,Breakfast included,True
2023-03-06 17:53:54.517391,74,Hotel 57,1,1,8.4,"(1,011 reviews)",The price is €337,The price was €369,0,0,0,0,True,False,,False
