Snapshot,Index,Hotel Name,TTT,LOS,Grade,Num of Reviews,Curr Price,Original Price,Percentage of discount,Distance from center,Type of room,Location grade,Is refundable,Late payment,Breakfast included,Option Member
2023-03-08 22:04:09.124030,0,Hotel 32 32,1,1,8.0,"(1,290 reviews)",The price is €218,The price was €281,0,0,0,0,False,False,,False
2023-03-08 22:04:09.130488,1,Hyatt House Jersey City,1,1,8.4,"(1,000 reviews)",The price is €246,The price was €273,0,0,0,0,False,False,Breakfast included,False
2023-03-08 22:04:09.135054,2,Sonesta Simply Suites Jersey City,1,1,8.4,(999 reviews),The price is €209,,0,0,0,0,True,False,,False
2023-03-08 22:04:09.140770,3,Four Points By Sheraton New York Downtown,1,1,7.4,"(1,003 reviews)",The price is €127,,0,0,0,0,False,False,,False
2023-03-08 22:04:09.143762,4,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,1,1,8.6,"(1,002 reviews)",The price is €150,The price was €176,0,0,0,0,True,False,,True
2023-03-08 22:04:09.146024,5,Truss Hotel Times Square ,1,1,8.0,(545 reviews),The price is €198,The price was €220,0,0,0,0,False,False,,True
2023-03-08 22:04:09.150014,6,Pod Times Square,1,1,8.6,"(2,793 reviews)",The price is €155,,0,0,0,0,False,False,,True
2023-03-08 22:04:09.151148,7,"PUBLIC, an Ian Schrager hotel",1,1,8.0,"(1,465 reviews)",The price is €443,,0,0,0,0,False,False,,True
2023-03-08 22:04:09.151148,8,"Moxy NYC Chelsea, a Marriott Hotel",1,1,8.6,(984 reviews),The price is €303,,0,0,0,0,False,False,,False
2023-03-08 22:04:09.155159,9,"Moxy NYC Times Square, a Marriott Hotel",1,1,8.4,"(1,089 reviews)",The price is €237,,0,0,0,0,False,False,,False
2023-03-08 22:04:09.155159,10,Archer Hotel New York,1,1,9.0,"(1,001 reviews)",The price is €286,The price was €318,0,0,0,0,False,False,,False
2023-03-08 22:04:09.162024,11,Hyatt Place New York Midtown South,1,1,8.6,"(1,001 reviews)",The price is €217,,0,0,0,0,False,False,Breakfast included,False
2023-03-08 22:04:09.162024,12,Fairfield Inn by Marriott New York Manhattan/Times Square,1,1,8.0,(998 reviews),The price is €165,,0,0,0,0,False,False,Breakfast included,True
2023-03-08 22:04:09.166037,13,The Gallivant Times Square,1,1,6.6,"(1,810 reviews)",The price is €126,The price was €149,0,0,0,0,False,False,,False
2023-03-08 22:04:09.166037,14,Arlo NoMad,1,1,8.0,"(1,602 reviews)",The price is €244,The price was €268,0,0,0,0,False,False,,True
2023-03-08 22:04:09.166037,15,"Club Quarters Hotel, World Trade Center",1,1,8.6,"(1,106 reviews)",The price is €187,,0,0,0,0,True,False,,True
2023-03-08 22:04:09.171745,16,Fairfield Inn New York Manhattan/Financial District,1,1,8.0,"(1,002 reviews)",The price is €122,,0,0,0,0,True,False,Breakfast included,False
2023-03-08 22:04:09.173731,17,Artezen Hotel,1,1,9.4,"(1,361 reviews)",The price is €170,,0,0,0,0,False,False,,False
2023-03-08 22:04:09.178222,18,Hilton Garden Inn New York/Central Park South-Midtown West,1,1,7.4,"(1,042 reviews)",The price is €211,The price was €234,0,0,0,0,False,False,,False
2023-03-08 22:04:09.181084,19,Wingate by Wyndham New York Midtown South/5th Ave,1,1,8.2,"(1,001 reviews)",The price is €199,The price was €209,0,0,0,0,False,False,Breakfast included,True
2023-03-08 22:04:09.181084,20,The Shoreham Hotel,1,1,7.6,(998 reviews),The price is €180,The price was €198,0,0,0,0,False,False,,False
2023-03-08 22:04:09.186199,21,"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",1,1,9.2,"(1,240 reviews)",The price is €231,,0,0,0,0,True,False,,True
2023-03-08 22:04:09.190224,22,Arlo Midtown,1,1,9.2,"(3,171 reviews)",The price is €276,,0,0,0,0,True,False,,True
2023-03-08 22:04:09.194300,23,Dream Downtown,1,1,7.2,(999 reviews),The price is €222,The price was €241,0,0,0,0,True,False,Pool,False
2023-03-08 22:04:09.194300,24,Four Points by Sheraton Manhattan SoHo Village,1,1,8.2,"(1,001 reviews)",The price is €155,,0,0,0,0,False,False,,False
2023-03-08 22:04:09.198317,25,"Aloft Manhattan Downtown - Financial District, a Marriott Hotel",1,1,8.0,"(1,000 reviews)",The price is €165,,0,0,0,0,False,False,,False
2023-03-08 22:04:09.202424,26,World Center Hotel,1,1,8.6,"(1,304 reviews)",The price is €187,,0,0,0,0,True,False,,True
2023-03-08 22:04:09.205861,27,Radio Hotel,1,1,8.8,(362 reviews),The price is €150,,0,0,0,0,False,False,,True
2023-03-08 22:04:09.208786,28,Latisha luxury place ,1,1,,,The price is €203,,0,0,0,0,False,False,,True
2023-03-08 22:04:09.210782,29,Smyth Tribeca,1,1,8.8,(618 reviews),The price is €306,The price was €334,0,0,0,0,False,False,,False
2023-03-08 22:04:09.215698,30,Hyatt Regency JFK Airport at Resorts World New York,1,1,8.6,(225 reviews),The price is €266,,0,0,0,0,False,False,,False
2023-03-08 22:04:09.215698,31,SpringHill Suites by Marriott New York Manhattan/Times Square South,1,1,8.0,"(1,000 reviews)",The price is €189,The price was €222,0,0,0,0,False,False,Breakfast included,True
2023-03-08 22:04:09.221570,32,Sheraton Tribeca New York Hotel,1,1,8.2,"(1,001 reviews)",The price is €176,,0,0,0,0,False,False,,False
2023-03-08 22:04:09.225688,33,Ameritania Hotel at Times Square,1,1,8.4,"(1,158 reviews)",The price is €209,,0,0,0,0,False,False,,True
2023-03-08 22:04:09.228679,34,The Lombardy Hotel,1,1,8.8,"(1,002 reviews)",The price is €318,The price was €372,0,0,0,0,True,False,,True
2023-03-08 22:04:09.228679,35,Hilton New York Fashion District,1,1,8.0,"(1,002 reviews)",The price is €220,,0,0,0,0,True,False,,True
2023-03-08 22:04:09.232694,36,"Holiday Inn Express Manhattan Times Square South, an IHG Hotel",1,1,8.0,"(1,000 reviews)",The price is €178,,0,0,0,0,False,False,Breakfast included,False
2023-03-08 22:04:09.232694,37,Four Points by Sheraton Manhattan - Chelsea,1,1,7.6,"(1,001 reviews)",The price is €188,The price was €209,0,0,0,0,False,False,,False
2023-03-08 22:04:09.236702,38,Hilton Garden Inn New York/West 35th Street,1,1,9.0,"(1,005 reviews)",The price is €231,,0,0,0,0,True,False,,True
2023-03-08 22:04:09.236702,39,Hudson River Hotel,1,1,7.0,(998 reviews),The price is €125,The price was €147,0,0,0,0,False,False,,False
2023-03-08 22:04:09.242608,40,Hyatt Place New York City/Times Square,1,1,7.8,"(1,142 reviews)",The price is €194,,0,0,0,0,True,False,Breakfast included,False
2023-03-08 22:04:09.246653,41,"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",1,1,7.6,(999 reviews),The price is €222,The price was €260,0,0,0,0,False,False,Breakfast included,True
2023-03-08 22:04:09.250653,42,Park Central Hotel New York,1,1,8.0,"(1,860 reviews)",The price is €279,The price was €305,0,0,0,0,False,False,,True
2023-03-08 22:04:09.250653,43,citizenM New York Times Square,1,1,9.0,"(1,263 reviews)",The price is €231,,0,0,0,0,True,False,,False
2023-03-08 22:04:09.254652,44,Millennium Downtown New York,1,1,7.4,"(2,539 reviews)",The price is €207,The price was €225,0,0,0,0,True,False,,True
2023-03-08 22:04:09.258982,45,Paramount Times Square,1,1,7.2,"(1,006 reviews)",The price is €169,,0,0,0,0,False,False,,False
2023-03-08 22:04:09.265118,46,Hampton Inn Manhattan-Seaport-Financial District,1,1,8.0,"(1,000 reviews)",The price is €135,,0,0,0,0,True,False,Breakfast included,True
