Snapshot,Index,Hotel Name,TTT,LOS,Grade,Num of Reviews,Curr Price,Original Price,Is refundable,Late payment,Extras included,Option Member,Friday,Monday,Wednesday,Discount
Monday,1,Hotel 32 32,1,1,8.0,1296.0,303.8,393.4,0,0,0,0,0,1,0,1
Monday,2,Sonesta Simply Suites Jersey City,1,1,8.4,1002.0,237.2,237.2,1,0,0,0,0,1,0,0
Monday,3,Park Lane New York,1,1,8.8,305.0,490.7,538.8,0,0,0,0,0,1,0,1
Monday,4,Arlo Midtown,1,1,9.2,3123.0,358.5,358.5,1,0,0,1,0,1,0,0
Monday,5,"PUBLIC, an Ian Schrager hotel",1,1,8.0,1465.0,467.8,467.8,0,0,0,1,0,1,0,0
Monday,6,Hard Rock Hotel New York,1,1,9.2,716.0,592.4,592.4,1,0,0,1,0,1,0,0
Monday,7,Hotel Edison Times Square,1,1,7.8,2758.0,279.8,279.8,1,0,1,1,0,1,0,0
Monday,8,YOTEL New York Times Square,1,1,7.0,1889.0,240.4,262.3,0,0,0,1,0,1,0,1
Monday,9,Moxy Brooklyn Willamsburg,1,1,5.3,0.0,264.5,264.5,0,0,0,0,0,1,0,0
Monday,10,New York Marriott Marquis,1,1,9.0,1543.0,588.0,588.0,0,0,0,0,0,1,0,0
Monday,11,Millennium Hotel Broadway Times Square,1,1,7.0,6075.0,219.7,239.3,1,0,0,1,0,1,0,1
Monday,12,The Westin New York at Times Square,1,1,8.6,2154.0,545.4,545.4,0,0,0,0,0,1,0,0
Monday,13,Margaritaville Resort Times Square,1,1,9.0,1679.0,351.9,351.9,0,0,1,0,0,1,0,0
Monday,14,The Manhattan at Times Square Hotel,1,1,5.6,2651.0,147.5,173.8,0,0,0,1,0,1,0,1
Monday,15,Hyatt Grand Central New York,1,1,7.8,1680.0,474.3,474.3,0,0,0,0,0,1,0,0
Monday,16,M Social Hotel Times Square New York,1,1,8.8,2832.0,372.7,408.7,1,0,0,0,0,1,0,1
Monday,17,Park Central Hotel New York,1,1,8.0,1908.0,312.6,342.1,0,0,0,1,0,1,0,1
Monday,18,Equinox Hotel New York,1,1,9.0,307.0,1177.1,1177.1,1,0,1,1,0,1,0,0
Monday,19,"InterContinental New York Times Square, an IHG Hotel",1,1,8.2,1055.0,447.0,447.0,0,0,0,0,0,1,0,0
Monday,20,"The Langham, New York, Fifth Avenue",1,1,9.4,1004.0,1442.6,1442.6,1,0,0,0,0,1,0,0
Monday,21,The New Yorker A Wyndham Hotel,1,1,8.0,2598.0,225.1,225.1,0,0,0,0,0,1,0,0
Monday,22,The Westin New York Grand Central,1,1,8.6,1191.0,641.5,1269.9,0,0,0,0,0,1,0,1
Monday,23,Soho Grand Hotel,1,1,8.8,1009.0,497.3,610.9,0,0,0,0,0,1,0,1
Monday,24,Empire Hotel,1,1,7.4,1311.0,262.3,262.3,0,0,1,1,0,1,0,0
Monday,25,Pod Times Square,1,1,8.6,2815.0,191.3,191.3,1,0,0,1,0,1,0,0
Monday,26,NoMo SoHo,1,1,8.0,1010.0,329.0,329.0,0,0,0,1,0,1,0,0
Monday,27,"Moxy NYC Times Square, a Marriott Hotel",1,1,8.4,1085.0,421.9,421.9,0,0,0,0,0,1,0,0
Monday,28,The Standard High Line,1,1,8.4,758.0,474.3,474.3,0,0,0,1,0,1,0,0
Monday,29,Park Lane New York,1,1,8.8,305.0,490.7,538.8,0,0,0,0,0,1,0,1
Monday,30,"Martinique New York on Broadway, Curio Collection by Hilton",1,1,8.6,1010.0,486.3,486.3,1,0,0,0,0,1,0,0
Monday,31,Hyatt House Jersey City,1,1,8.4,1009.0,331.1,368.3,0,0,1,0,0,1,0,1
Monday,32,Millennium Downtown New York,1,1,7.4,2520.0,330.1,361.7,1,0,0,1,0,1,0,1
Monday,33,"Hotel Indigo Lower East Side New York, an IHG Hotel",1,1,8.0,1003.0,306.0,306.0,0,0,1,0,0,1,0,0
Monday,34,The Times Square EDITION,1,1,9.0,572.0,781.4,781.4,0,0,0,0,0,1,0,0
Monday,35,The Knickerbocker Hotel,1,1,8.8,1007.0,560.7,616.4,0,0,0,0,0,1,0,1
Monday,36,"InterContinental New York Barclay, an IHG Hotel",1,1,8.6,1011.0,713.7,713.7,0,0,0,0,0,1,0,0
Monday,37,RIU Plaza Manhattan Times Square,1,1,8.8,1854.0,285.2,285.2,0,0,0,0,0,1,0,0
Monday,38,INNSiDE by Meliá New York Nomad,1,1,8.8,1349.0,337.7,337.7,0,0,0,1,0,1,0,0
Monday,39,Arlo NoMad,1,1,8.0,1607.0,299.5,329.0,1,0,0,1,0,1,0,1
Monday,40,The Belvedere Hotel,1,1,8.6,2270.0,193.4,193.4,1,0,0,1,0,1,0,0
Monday,41,Ace Hotel New York,1,1,8.2,1008.0,397.8,397.8,1,0,0,0,0,1,0,0
Monday,42,"Mandarin Oriental, New York",1,1,9.2,450.0,1100.6,1100.6,1,0,1,0,0,1,0,0
