Breakfast included_booking,Cancel Later_booking,Discount_booking,Discount_expedia,Distance from center_booking,Extras included_expedia,Free Cancellation_booking,Friday,Grade_booking,Grade_expedia,Index_booking,Index_expedia,Is refundable_expedia,LOS,Late payment_expedia,Location grade_booking,Monday,Late payment_booking,Num of Reviews_booking,Num of Reviews_expedia,Option Member_expedia,TTT,Wednesday,Diff_B-E
0,0,1,1,600,0,0,0,8.4,9.0,39,71,0,1,0,1,0,0,489,1001.0,0,2,1,-130.78999999999996
0,0,1,1,600,0,0,0,8.4,9.0,22,64,0,1,0,1,0,0,489,1001.0,0,3,1,-130.78999999999996
0,0,1,1,600,0,0,0,8.4,9.0,87,62,0,1,0,1,0,0,489,1001.0,0,8,1,-150.76999999999998
0,0,1,1,600,0,0,0,8.4,9.0,62,66,0,2,0,1,0,0,489,1001.0,0,8,1,-311.82000000000005
0,0,1,1,600,0,0,0,8.4,9.0,28,71,0,3,0,1,0,0,489,1001.0,0,8,1,-461.1099999999999
0,0,1,1,600,0,0,0,8.4,9.0,27,32,0,1,0,1,0,0,489,1001.0,0,9,1,-160.77000000000004
0,0,1,1,600,0,0,0,8.4,9.0,32,45,0,2,0,1,0,0,489,1001.0,0,9,1,-324.0400000000001
0,0,1,1,600,0,0,0,8.4,9.0,30,32,0,1,0,1,0,0,489,1001.0,0,10,1,-163.27000000000004
0,0,1,1,600,0,0,1,8.5,9.0,13,30,0,1,0,1,0,0,490,1001.0,0,1,0,-103.64
0,0,1,1,600,0,0,1,8.5,9.0,23,89,0,2,0,1,0,0,490,1001.0,0,1,0,-188.69999999999996
0,0,1,1,600,0,0,1,8.5,9.0,13,65,0,1,0,1,0,0,490,1001.0,0,7,0,-310.20000000000005
0,0,1,1,600,0,0,1,8.5,9.0,19,58,0,2,0,1,0,0,490,1001.0,0,7,0,-430.55000000000007
0,0,1,1,600,0,0,1,8.5,9.0,14,22,0,1,0,1,0,0,490,1001.0,0,8,0,-120.35000000000002
0,0,1,1,600,0,0,1,8.5,9.0,42,94,0,2,0,1,0,0,490,1001.0,0,8,0,-246.5
0,0,1,1,600,0,0,1,8.5,9.0,30,76,0,1,0,1,0,0,490,1001.0,0,14,0,-152.39999999999998
0,0,1,1,600,0,0,1,8.5,9.0,44,82,0,2,0,1,0,0,490,1001.0,0,14,0,-303.6100000000001
0,0,1,1,600,0,0,1,8.5,9.0,35,65,0,1,0,1,0,0,490,1001.0,0,15,0,-152.39999999999998
